,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1
2746,003679.OF,中融现金增利C,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2762,003711.OF,泰达宏利京元宝A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
2763,003712.OF,泰达宏利京元宝B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
2789,003752.OF,工银瑞信如意A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
2790,003753.OF,工银瑞信如意B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
2808,003792.OF,民生加银现金宝C,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2826,003816.OF,银华交易货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
2869,003871.OF,华泰柏瑞天添宝货币B,货币市场型基金,货币市场型基金,当期银行活期存款利率(税后),当期银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['当期银行活期存款利率(税后)'],当期银行活期存款利率(税后),"['当期银行活期存款利率(税后)', nan]"
2870,003874.OF,浙商日添金A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
2871,003875.OF,浙商日添金B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
2915,003968.OF,交银天益宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
2916,003969.OF,交银天益宝E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
2928,003994.OF,华富货币B,货币市场型基金,货币市场型基金,人民币一年期银行定期储蓄存款利率(税后),人民币一年期银行定期储蓄存款利率(税后),,nan,,nan,,nan,,nan,,['人民币一年期银行定期储蓄存款利率(税后)'],人民币一年期银行定期储蓄存款利率(税后),"['人民币一年期银行定期储蓄存款利率(税后)', nan]"
2929,003997.OF,泓德添利A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
2930,003998.OF,泓德添利B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
2953,004039.OF,中欧骏泰,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
2968,004056.OF,华夏惠利A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2970,004060.OF,博时兴盛B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
2977,004072.OF,金元顺安金通宝A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
2978,004073.OF,金元顺安金通宝B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
2981,004077.OF,金信民发货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2982,004078.OF,金信民发货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2997,004097.OF,农银汇理日日鑫A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
3014,004120.OF,国富安享,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3015,004121.OF,兴银现金添利,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
3026,004133.OF,中航航行宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3030,004137.OF,博时合惠B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3042,004151.OF,先锋日添利A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3043,004152.OF,先锋日添利B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3055,004167.OF,安信活期宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3057,004169.OF,万家现金增利A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
3058,004170.OF,万家现金增利B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
3061,004173.OF,嘉实增益宝,货币市场型基金,货币市场型基金,中国人民银行公布的人民币活期存款基准利率(税后),中国人民银行公布的人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的人民币活期存款基准利率(税后)'],中国人民银行公布的人民币活期存款基准利率(税后),"['中国人民银行公布的人民币活期存款基准利率(税后)', nan]"
3064,004178.OF,圆信永丰丰润A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3065,004179.OF,圆信永丰丰润B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3070,004185.OF,江信增利A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
3071,004186.OF,江信增利B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
3081,004198.OF,华富天益A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3082,004199.OF,华富天益B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3084,004201.OF,华夏财富宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3089,004210.OF,前海开源货币E,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3092,004216.OF,兴业安润A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3093,004217.OF,兴业安润B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3122,004251.OF,华夏惠利B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3131,004261.OF,招商招禧宝A,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
3132,004262.OF,招商招禧宝B,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
3147,004282.OF,博时兴荣B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3150,004285.OF,华富天盈A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3151,004286.OF,华富天盈B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3165,004330.OF,太平日日鑫A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3166,004331.OF,太平日日鑫B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3193,004368.OF,前海开源聚财宝A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3194,004369.OF,前海开源聚财宝B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3195,004372.OF,金鹰现金增益A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3196,004373.OF,金鹰现金增益B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3208,004398.OF,融通现金宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3209,004399.OF,融通汇财宝E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3223,004417.OF,兴全货币B,货币市场型基金,货币市场型基金,六个月银行定期存款利率(税后),六个月银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['六个月银行定期存款利率(税后)'],六个月银行定期存款利率(税后),"['六个月银行定期存款利率(税后)', nan]"
3244,004449.OF,上银慧增利,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3272,004493.OF,华泰保兴货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3273,004494.OF,华泰保兴货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3279,004501.OF,嘉实现金添利,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
3280,004502.OF,中银如意宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3296,004545.OF,永赢天天利,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
3301,004553.OF,中信建投凤凰B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3311,004568.OF,长城工资宝B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
3319,004589.OF,民生加银腾元宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3376,004684.OF,鹏华盈余宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3387,004699.OF,前海联合汇盈货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3388,004700.OF,前海联合汇盈货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3389,004701.OF,鹏华盈余宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3399,004717.OF,万家天添宝货币A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
3400,004718.OF,万家天添宝货币B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
3429,004749.OF,华泰紫金天天金B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
3442,004770.OF,海富通添益货币A,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
3443,004771.OF,海富通添益货币B,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
3448,004776.OF,鹏华金元宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3452,004786.OF,渤海汇金汇添金A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
3453,004787.OF,渤海汇金汇添金B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
3462,004796.OF,广发钱袋子E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3473,004811.OF,万家现金宝B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
3497,004841.OF,博时合惠A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3502,004849.OF,信诚货币E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3513,004860.OF,华泰紫金零钱宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3514,004861.OF,泰康现金管家货币A,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
3515,004862.OF,泰康现金管家货币B,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
3516,004863.OF,泰康现金管家货币C,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
3517,004865.OF,格林日鑫月熠A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
3518,004866.OF,格林日鑫月熠B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
3520,004869.OF,中融日日盈B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
3541,004896.OF,鹏华兴鑫宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3548,004903.OF,人保货币A,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
3549,004904.OF,人保货币B,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
3579,004938.OF,中欧滚钱宝B,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
3580,004939.OF,中欧滚钱宝C,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
3602,004967.OF,红土创新货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3603,004968.OF,红土创新货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3604,004970.OF,南方天天宝A,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
3605,004971.OF,南方天天宝B,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
3606,004972.OF,长城收益宝A,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
3607,004973.OF,长城收益宝B,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
3616,004983.OF,鹏扬现金通利A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
3617,004984.OF,鹏扬现金通利B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
3618,004985.OF,博时合晶货币,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
3644,005020.OF,信诚智惠金A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
3670,005056.OF,东方红货币A,货币市场型基金,货币市场型基金,当期银行活期存款利率(税后),当期银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['当期银行活期存款利率(税后)'],当期银行活期存款利率(税后),"['当期银行活期存款利率(税后)', nan]"
