,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
679,000936.OF,博时产业新动力A,混合型基金,灵活配置型基金,中证全指工业指数收益率*70%+中国债券总指数收益率*30%,中证全指工业指数收益率,70%,中国债券总指数收益率,30%
680,000939.OF,中银研究精选,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
681,000940.OF,富国中小盘精选,混合型基金,偏股混合型基金,中证700指数收益率*80%+中债综合财富指数收益率*20%,中证700指数收益率,80%,中债综合财富指数收益率,20%
685,000945.OF,华夏医疗健康A,混合型基金,偏股混合型基金,中证医药卫生指数收益率*65%+上证国债指数收益率*35%,中证医药卫生指数收益率,65%,上证国债指数收益率,35%
686,000946.OF,华夏医疗健康C,混合型基金,偏股混合型基金,中证医药卫生指数收益率*65%+上证国债指数收益率*35%,中证医药卫生指数收益率,65%,上证国债指数收益率,35%
691,000953.OF,国泰睿吉A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
692,000954.OF,国泰睿吉C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
697,000963.OF,兴业多策略,混合型基金,灵活配置型基金,三年期银行定期存款利率(税后)+1%,三年期银行定期存款利率(税后),,1%,
698,000965.OF,汇丰晋信新动力,混合型基金,偏股混合型基金,中证800指数(CSI800)*80%+银行同业存款利率*20%,中证800指数(CSI800),80%,银行同业存款利率,20%
699,000966.OF,中邮核心科技创新,混合型基金,灵活配置型基金,沪深300指数*60%+上证国债指数*40%,沪深300指数,60%,上证国债指数,40%
700,000967.OF,华泰柏瑞创新动力,混合型基金,灵活配置型基金,中证新兴产业指数收益率*60%+中债总指数(全价)收益率*40%,中证新兴产业指数收益率,60%,中债总指数(全价)收益率,40%
702,000969.OF,前海开源大安全核心,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
705,000972.OF,新华万银多元策略,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
709,000976.OF,长城新兴产业,混合型基金,灵活配置型基金,中证新兴产业指数收益率*55%+中债综合财富指数收益率*45%,中证新兴产业指数收益率,55%,中债综合财富指数收益率,45%
710,000977.OF,长城环保主题,混合型基金,灵活配置型基金,中证环保产业指数收益率*50%+中债综合财富指数收益率*50%,中证环保产业指数收益率,50%,中债综合财富指数收益率,50%
717,000986.OF,太平灵活配置,混合型基金,灵活配置型基金,1年期银行定期存款利率(税后)+2%,1年期银行定期存款利率(税后),,2%,
723,000993.OF,华宝稳健回报,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
724,000994.OF,建信睿盈A,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率(全价)*35%,沪深300指数收益率,65%,中债综合指数收益率(全价),35%
725,000995.OF,建信睿盈C,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率(全价)*35%,沪深300指数收益率,65%,中债综合指数收益率(全价),35%
729,001000.OF,中欧明睿新起点,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%
734,001007.OF,国联安鑫安,混合型基金,灵活配置型基金,沪深300指数*50%+上证国债指数*50%,沪深300指数,50%,上证国债指数,50%
740,001014.OF,中融融安,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
743,001017.OF,泰达宏利改革动力A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
744,001018.OF,易方达新经济,混合型基金,灵活配置型基金,中证800指数收益率*65%+一年期人民币定期存款利率(税后)*35%,中证800指数收益率,65%,一年期人民币定期存款利率(税后),35%
751,001030.OF,天弘云端生活优选,混合型基金,灵活配置型基金,中证主要消费指数收益率*60%+中证综合债指数收益率*40%,中证主要消费指数收益率,60%,中证综合债指数收益率,40%
756,001037.OF,国投瑞银锐意改革,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
770,001053.OF,南方创新经济,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
772,001056.OF,北信瑞丰健康生活主题,混合型基金,灵活配置型基金,中证800指数收益率*60%+中证综合债券指数收益率*40%,中证800指数收益率,60%,中证综合债券指数收益率,40%
776,001060.OF,前海开源高端装备制造,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
782,001067.OF,鹏华弘盛A,混合型基金,灵活配置型基金,一年期银行定期存款利率(税后)+3%,一年期银行定期存款利率(税后),,3%,
783,001068.OF,华融新锐,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
784,001069.OF,华泰柏瑞消费成长,混合型基金,灵活配置型基金,申银万国消费品指数*80%+中证全债指数*20%,申银万国消费品指数,80%,中证全债指数,20%
786,001071.OF,华安媒体互联网,混合型基金,灵活配置型基金,中证800指数收益率*50%+中国债券总指数收益率*50%,中证800指数收益率,50%,中国债券总指数收益率,50%
789,001074.OF,华泰柏瑞量化驱动A,混合型基金,灵活配置型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%
790,001075.OF,宝盈转型动力,混合型基金,灵活配置型基金,中证800指数收益率*70%+中证综合债券指数收益率*30%,中证800指数收益率,70%,中证综合债券指数收益率,30%
791,001076.OF,易方达改革红利,混合型基金,偏股混合型基金,沪深300指数收益率*70%+一年期人民币定期存款利率(税后)*30%,沪深300指数收益率,70%,一年期人民币定期存款利率(税后),30%
796,001088.OF,华宝国策导向,混合型基金,偏股混合型基金,沪深300指数收益率*70%+上证国债指数收益率*30%,沪深300指数收益率,70%,上证国债指数收益率,30%
804,001102.OF,前海开源国家比较优势,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
805,001103.OF,前海开源工业革命4.0,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
808,001106.OF,华商健康生活,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
811,001112.OF,东方红中国优势,混合型基金,灵活配置型基金,中证800指数收益率*70%+中国债券总指数收益率*30%,中证800指数收益率,70%,中国债券总指数收益率,30%
813,001115.OF,广发聚安A,混合型基金,偏债混合型基金,中证全债指数收益率*70%+沪深300指数收益率*30%,中证全债指数收益率,70%,沪深300指数收益率,30%
814,001116.OF,广发聚安C,混合型基金,偏债混合型基金,中证全债指数收益率*70%+沪深300指数收益率*30%,中证全债指数收益率,70%,沪深300指数收益率,30%
815,001117.OF,中欧精选A,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%
816,001118.OF,华宝事件驱动,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
817,001120.OF,东方睿鑫热点挖掘A,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
818,001121.OF,东方睿鑫热点挖掘C,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
819,001122.OF,鹏华弘利A,混合型基金,灵活配置型基金,一年期银行定期存款利率(税后)+3%,一年期银行定期存款利率(税后),,3%,
820,001123.OF,鹏华弘利C,混合型基金,灵活配置型基金,一年期银行定期存款利率(税后)+3%,一年期银行定期存款利率(税后),,3%,
822,001125.OF,博时互联网主题,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
824,001127.OF,中银宏观策略,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
825,001128.OF,宝盈新兴产业,混合型基金,灵活配置型基金,中证新兴产业指数收益率*65%+中证综合债券指数收益率*35%,中证新兴产业指数收益率,65%,中证综合债券指数收益率,35%
828,001135.OF,益民品质升级,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中证全债指数收*35%,沪深300指数收益率,65%,中证全债指数收,35%
829,001136.OF,易方达裕如,混合型基金,灵活配置型基金,一年期人民币定期存款利率(税后)+2%,一年期人民币定期存款利率(税后),,2%,
830,001139.OF,华安新动力,混合型基金,灵活配置型基金,中国人民银行公布的一年期定期存款利率(税后)+3%,中国人民银行公布的一年期定期存款利率(税后),,3%,
831,001140.OF,工银瑞信总回报A,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债综合指数收益率*45%,沪深300指数收益率,55%,中债综合指数收益率,45%
832,001141.OF,泰达宏利创盈A,混合型基金,灵活配置型基金,中债总财富总指数+2%,中债总财富总指数,,2%,
833,001142.OF,泰达宏利创盈B,混合型基金,灵活配置型基金,中债总财富总指数+2%,中债总财富总指数,,2%,
834,001143.OF,华商量化进取,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
835,001144.OF,大成互联网思维,混合型基金,偏股混合型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%
838,001148.OF,申万菱信多策略A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
840,001150.OF,融通互联网传媒,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合(全价)指数收益率*50%,沪深300指数收益率,50%,中债综合(全价)指数收益率,50%
841,001152.OF,融通新区域新经济,混合型基金,灵活配置型基金,中证新兴产业指数收益率*50%+中债综合(全价)指数收益率*50%,中证新兴产业指数收益率,50%,中债综合(全价)指数收益率,50%
842,001154.OF,北信瑞丰平安中国,混合型基金,灵活配置型基金,中证800指数收益率*60%+中证综合债券指数收益率*40%,中证800指数收益率,60%,中证综合债券指数收益率,40%
843,001156.OF,申万菱信新能源汽车,混合型基金,灵活配置型基金,中证新能源汽车指数收益率*50%+中证综合债指数收益率*50%,中证新能源汽车指数收益率,50%,中证综合债指数收益率,50%
844,001157.OF,国联安睿祺,混合型基金,灵活配置型基金,沪深300指数*50%+上证国债指数*50%,沪深300指数,50%,上证国债指数,50%
