,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
11211,550008.OF,信诚优胜精选,混合型基金,偏股混合型基金,中证800指数收益率*80%+中证综合债指数收益率*20%,中证800指数收益率,80%,中证综合债指数收益率,20%
11217,550015.OF,信诚至远A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
11218,550016.OF,信诚至远C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
11221,560002.OF,益民红利成长,混合型基金,偏股混合型基金,沪深300指数收益率*65%+中证全债指数收益率*35%,沪深300指数收益率,65%,中证全债指数收益率,35%
11222,560003.OF,益民创新优势,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证全债指数收益率*25%,沪深300指数收益率,75%,中证全债指数收益率,25%
11223,560006.OF,益民核心增长,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%
11224,570001.OF,诺德价值优势,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
11225,570005.OF,诺德成长优势,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
11226,570006.OF,诺德中小盘,混合型基金,偏股混合型基金,中证700指数*80%+上证国债指数*20%,中证700指数,80%,上证国债指数,20%
11227,570007.OF,诺德优选30,混合型基金,偏股混合型基金,沪深300指数*80%+同业存款利率*20%,沪深300指数,80%,同业存款利率,20%
11228,570008.OF,诺德周期策略,混合型基金,偏股混合型基金,沪深300指数*80%+金融同业存款利率*20%,沪深300指数,80%,金融同业存款利率,20%
11229,571002.OF,诺德主题灵活配置,混合型基金,灵活配置型基金,沪深300指数*60%+上证国债指数*40%,沪深300指数,60%,上证国债指数,40%
11232,580002.OF,东吴价值成长A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%
11233,580003.OF,东吴行业轮动A,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
11234,580005.OF,东吴进取策略A,混合型基金,灵活配置型基金,沪深300指数*65%+中证全债指数*35%,沪深300指数,65%,中证全债指数,35%
11235,580006.OF,东吴新经济,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
