,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
6944,008691.OF,平安增利六个月定开债C,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中债综合财富(总值)指数收益率*90%,"['中债综合财富(总值)指数收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
6945,008692.OF,平安增利六个月定开债E,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中债综合财富(总值)指数收益率*90%,"['中债综合财富(总值)指数收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
6946,008693.OF,民生加银聚享39个月定开债,债券型基金,中长期纯债型基金,三年定期存款利率(税后)+1.5%,三年定期存款利率(税后),,1.5%,,nan,,nan,,nan,,"['三年定期存款利率(税后)', '1.5%', nan, nan]",三年定期存款利率(税后),"['三年定期存款利率(税后)', nan]",1.5%,"['1.5%', nan]",,"['nan', nan]",,"['nan', nan]"
6947,008694.OF,平安元盛超短债A,债券型基金,短期纯债型基金,中债综合财富(1年以下)指数收益率,中债综合财富(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(1年以下)指数收益率', nan, nan, nan]",中债综合财富(1年以下)指数收益率,"['中债综合财富(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6948,008695.OF,平安元盛超短债C,债券型基金,短期纯债型基金,中债综合财富(1年以下)指数收益率,中债综合财富(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(1年以下)指数收益率', nan, nan, nan]",中债综合财富(1年以下)指数收益率,"['中债综合财富(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6949,008696.OF,平安元盛超短债E,债券型基金,短期纯债型基金,中债综合财富(1年以下)指数收益率,中债综合财富(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(1年以下)指数收益率', nan, nan, nan]",中债综合财富(1年以下)指数收益率,"['中债综合财富(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6951,008698.OF,前海联合泳嘉A,债券型基金,中长期纯债型基金,中债-国债及政策性银行债财富(总值)指数收益率*80%+一年期定期存款利率(税后)*20%,中债-国债及政策性银行债财富(总值)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债-国债及政策性银行债财富(总值)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债-国债及政策性银行债财富(总值)指数收益率*80%,"['中债-国债及政策性银行债财富(总值)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
6952,008699.OF,前海联合泳嘉C,债券型基金,中长期纯债型基金,中债-国债及政策性银行债财富(总值)指数收益率*80%+一年期定期存款利率(税后)*20%,中债-国债及政策性银行债财富(总值)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债-国债及政策性银行债财富(总值)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债-国债及政策性银行债财富(总值)指数收益率*80%,"['中债-国债及政策性银行债财富(总值)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
6953,008700.OF,泰康瑞丰纯债3个月定开,债券型基金,中长期纯债型基金,中债新综合财富(总值)指数收益率,中债新综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债新综合财富(总值)指数收益率', nan, nan, nan]",中债新综合财富(总值)指数收益率,"['中债新综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6956,008703.OF,前海联合泰瑞纯债C,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6963,008710.OF,宝盈盈顺纯债A,债券型基金,中长期纯债型基金,中债总指数收益率*95%+活期存款利率(税后)*5%,中债总指数收益率,95%,活期存款利率(税后),5%,nan,,nan,,nan,,"['中债总指数收益率*95%', '活期存款利率(税后)*5%', nan, nan]",中债总指数收益率*95%,"['中债总指数收益率', '95%']",活期存款利率(税后)*5%,"['活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
6964,008711.OF,宝盈盈顺纯债C,债券型基金,中长期纯债型基金,中债总指数收益率*95%+活期存款利率(税后)*5%,中债总指数收益率,95%,活期存款利率(税后),5%,nan,,nan,,nan,,"['中债总指数收益率*95%', '活期存款利率(税后)*5%', nan, nan]",中债总指数收益率*95%,"['中债总指数收益率', '95%']",活期存款利率(税后)*5%,"['活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
6969,008717.OF,德邦锐恒39个月定开债A,债券型基金,中长期纯债型基金,三年期定期存款利率(税后)+1%,三年期定期存款利率(税后),,1%,,nan,,nan,,nan,,"['三年期定期存款利率(税后)', '1%', nan, nan]",三年期定期存款利率(税后),"['三年期定期存款利率(税后)', nan]",1%,"['1%', nan]",,"['nan', nan]",,"['nan', nan]"
6970,008718.OF,德邦锐恒39个月定开债C,债券型基金,中长期纯债型基金,三年期定期存款利率(税后)+1%,三年期定期存款利率(税后),,1%,,nan,,nan,,nan,,"['三年期定期存款利率(税后)', '1%', nan, nan]",三年期定期存款利率(税后),"['三年期定期存款利率(税后)', nan]",1%,"['1%', nan]",,"['nan', nan]",,"['nan', nan]"
6973,008721.OF,华商鸿益一年定开,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6974,008722.OF,永赢欣益一年定开债,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6976,008724.OF,泓德裕瑞三年定开,债券型基金,中长期纯债型基金,每个封闭期同期对应的三年期定期存款利率(税后)+1.25%,每个封闭期同期对应的三年期定期存款利率(税后),,1.25%,,nan,,nan,,nan,,"['每个封闭期同期对应的三年期定期存款利率(税后)', '1.25%', nan, nan]",每个封闭期同期对应的三年期定期存款利率(税后),"['每个封闭期同期对应的三年期定期存款利率(税后)', nan]",1.25%,"['1.25%', nan]",,"['nan', nan]",,"['nan', nan]"
6977,008726.OF,平安添裕A,债券型基金,混合债券型二级基金,中债综合指数收益率*90%+沪深300指数收益率*10%,中债综合指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,,"['中债综合指数收益率*90%', '沪深300指数收益率*10%', nan, nan]",中债综合指数收益率*90%,"['中债综合指数收益率', '90%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]",,"['nan', nan]"
6978,008727.OF,平安添裕C,债券型基金,混合债券型二级基金,中债综合指数收益率*90%+沪深300指数收益率*10%,中债综合指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,,"['中债综合指数收益率*90%', '沪深300指数收益率*10%', nan, nan]",中债综合指数收益率*90%,"['中债综合指数收益率', '90%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]",,"['nan', nan]"
6979,008728.OF,同泰恒利纯债A,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6980,008729.OF,同泰恒利纯债C,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6981,008730.OF,天弘纯享一年定开,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6982,008731.OF,招商添浩A,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率,中债综合(全价)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合(全价)指数收益率', nan, nan, nan]",中债综合(全价)指数收益率,"['中债综合(全价)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6983,008732.OF,招商添浩C,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率,中债综合(全价)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合(全价)指数收益率', nan, nan, nan]",中债综合(全价)指数收益率,"['中债综合(全价)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6986,008735.OF,汇安盛鑫三年定开,债券型基金,中长期纯债型基金,该封闭期起始日公布的三年期定期存款利率(税后)+1.5%,该封闭期起始日公布的三年期定期存款利率(税后),,1.5%,,nan,,nan,,nan,,"['该封闭期起始日公布的三年期定期存款利率(税后)', '1.5%', nan, nan]",该封闭期起始日公布的三年期定期存款利率(税后),"['该封闭期起始日公布的三年期定期存款利率(税后)', nan]",1.5%,"['1.5%', nan]",,"['nan', nan]",,"['nan', nan]"
6989,008738.OF,天弘兴享一年定开债,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6990,008739.OF,中欧同益一年定开债,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6991,008740.OF,国寿安保尊盛双债A,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率*80%+中证可转换债券指数收益率*20%,中债综合(全价)指数收益率,80%,中证可转换债券指数收益率,20%,nan,,nan,,nan,,"['中债综合(全价)指数收益率*80%', '中证可转换债券指数收益率*20%', nan, nan]",中债综合(全价)指数收益率*80%,"['中债综合(全价)指数收益率', '80%']",中证可转换债券指数收益率*20%,"['中证可转换债券指数收益率', '20%']",,"['nan', nan]",,"['nan', nan]"
6992,008741.OF,国寿安保尊盛双债C,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率*80%+中证可转换债券指数收益率*20%,中债综合(全价)指数收益率,80%,中证可转换债券指数收益率,20%,nan,,nan,,nan,,"['中债综合(全价)指数收益率*80%', '中证可转换债券指数收益率*20%', nan, nan]",中债综合(全价)指数收益率*80%,"['中债综合(全价)指数收益率', '80%']",中证可转换债券指数收益率*20%,"['中证可转换债券指数收益率', '20%']",,"['nan', nan]",,"['nan', nan]"
6994,008743.OF,南方集利18个月定开债A,债券型基金,混合债券型二级基金,中证全债指数收益率*95%+沪深300指数收益率*5%,中证全债指数收益率,95%,沪深300指数收益率,5%,nan,,nan,,nan,,"['中证全债指数收益率*95%', '沪深300指数收益率*5%', nan, nan]",中证全债指数收益率*95%,"['中证全债指数收益率', '95%']",沪深300指数收益率*5%,"['沪深300指数收益率', '5%']",,"['nan', nan]",,"['nan', nan]"
6995,008744.OF,南方集利18个月定开债C,债券型基金,混合债券型二级基金,中证全债指数收益率*95%+沪深300指数收益率*5%,中证全债指数收益率,95%,沪深300指数收益率,5%,nan,,nan,,nan,,"['中证全债指数收益率*95%', '沪深300指数收益率*5%', nan, nan]",中证全债指数收益率*95%,"['中证全债指数收益率', '95%']",沪深300指数收益率*5%,"['沪深300指数收益率', '5%']",,"['nan', nan]",,"['nan', nan]"
6996,008745.OF,南方尊利一年定开债,债券型基金,中长期纯债型基金,中债信用债总指数收益率,中债信用债总指数收益率,,nan,,nan,,nan,,nan,,"['中债信用债总指数收益率', nan, nan, nan]",中债信用债总指数收益率,"['中债信用债总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6997,008746.OF,财通多利,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率,中债综合(全价)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合(全价)指数收益率', nan, nan, nan]",中债综合(全价)指数收益率,"['中债综合(全价)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6998,008747.OF,大成景泰A,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
6999,008748.OF,大成景泰C,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7007,008756.OF,民生加银瑞夏一年定开债,债券型基金,中长期纯债型基金,中国债券综合指数收益率,中国债券综合指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合指数收益率', nan, nan, nan]",中国债券综合指数收益率,"['中国债券综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7010,008759.OF,上投摩根瑞泰38个月定开债A,债券型基金,中长期纯债型基金,该封闭期起始日公布的三年定期存款利率(税后)+1%,该封闭期起始日公布的三年定期存款利率(税后),,1%,,nan,,nan,,nan,,"['该封闭期起始日公布的三年定期存款利率(税后)', '1%', nan, nan]",该封闭期起始日公布的三年定期存款利率(税后),"['该封闭期起始日公布的三年定期存款利率(税后)', nan]",1%,"['1%', nan]",,"['nan', nan]",,"['nan', nan]"
7011,008760.OF,上投摩根瑞泰38个月定开债C,债券型基金,中长期纯债型基金,该封闭期起始日公布的三年定期存款利率(税后)+1%,该封闭期起始日公布的三年定期存款利率(税后),,1%,,nan,,nan,,nan,,"['该封闭期起始日公布的三年定期存款利率(税后)', '1%', nan, nan]",该封闭期起始日公布的三年定期存款利率(税后),"['该封闭期起始日公布的三年定期存款利率(税后)', nan]",1%,"['1%', nan]",,"['nan', nan]",,"['nan', nan]"
7012,008761.OF,南方骏元中短期利率债,债券型基金,短期纯债型基金,中债-固定利率债券全价(1-3年)指数收益率,中债-固定利率债券全价(1-3年)指数收益率,,nan,,nan,,nan,,nan,,"['中债-固定利率债券全价(1-3年)指数收益率', nan, nan, nan]",中债-固定利率债券全价(1-3年)指数收益率,"['中债-固定利率债券全价(1-3年)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7013,008762.OF,天弘恒享一年定开债,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7016,008765.OF,中加瑞享纯债A,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7017,008766.OF,财通资管鸿盛12个月A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7018,008767.OF,财通资管鸿盛12个月C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7022,008771.OF,南方昭元A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7023,008772.OF,南方昭元C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7025,008774.OF,招商鑫福中短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*90%+一年期定期存款利率(税后)*10%,中债总财富(1-3年)指数收益率,90%,一年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*90%', '一年期定期存款利率(税后)*10%', nan, nan]",中债总财富(1-3年)指数收益率*90%,"['中债总财富(1-3年)指数收益率', '90%']",一年期定期存款利率(税后)*10%,"['一年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
7026,008775.OF,招商鑫福中短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*90%+一年期定期存款利率(税后)*10%,中债总财富(1-3年)指数收益率,90%,一年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*90%', '一年期定期存款利率(税后)*10%', nan, nan]",中债总财富(1-3年)指数收益率*90%,"['中债总财富(1-3年)指数收益率', '90%']",一年期定期存款利率(税后)*10%,"['一年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
7031,008780.OF,南方宁利一年定开债,债券型基金,中长期纯债型基金,中债信用债总指数收益率,中债信用债总指数收益率,,nan,,nan,,nan,,nan,,"['中债信用债总指数收益率', nan, nan, nan]",中债信用债总指数收益率,"['中债信用债总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7032,008783.OF,南方乐元中短期利率债A,债券型基金,短期纯债型基金,中债-固定利率债券全价(1-3年)指数收益率,中债-固定利率债券全价(1-3年)指数收益率,,nan,,nan,,nan,,nan,,"['中债-固定利率债券全价(1-3年)指数收益率', nan, nan, nan]",中债-固定利率债券全价(1-3年)指数收益率,"['中债-固定利率债券全价(1-3年)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7033,008784.OF,南方乐元中短期利率债C,债券型基金,短期纯债型基金,中债-固定利率债券全价(1-3年)指数收益率,中债-固定利率债券全价(1-3年)指数收益率,,nan,,nan,,nan,,nan,,"['中债-固定利率债券全价(1-3年)指数收益率', nan, nan, nan]",中债-固定利率债券全价(1-3年)指数收益率,"['中债-固定利率债券全价(1-3年)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7034,008785.OF,中加博裕纯债,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7036,008787.OF,融通中债1-3年国开债A,债券型基金,被动指数型债券基金,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-1-3年国开行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中债-1-3年国开行债券指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",中债-1-3年国开行债券指数收益率*95%,"['中债-1-3年国开行债券指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
7037,008788.OF,融通中债1-3年国开债C,债券型基金,被动指数型债券基金,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-1-3年国开行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中债-1-3年国开行债券指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",中债-1-3年国开行债券指数收益率*95%,"['中债-1-3年国开行债券指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
7038,008789.OF,海富通中债1-3年国开债C,债券型基金,被动指数型债券基金,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-1-3年国开行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中债-1-3年国开行债券指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",中债-1-3年国开行债券指数收益率*95%,"['中债-1-3年国开行债券指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
7039,008790.OF,海富通中债1-3年国开债A,债券型基金,被动指数型债券基金,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-1-3年国开行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中债-1-3年国开行债券指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",中债-1-3年国开行债券指数收益率*95%,"['中债-1-3年国开行债券指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
7040,008791.OF,招商安华A,债券型基金,混合债券型二级基金,中债综合指数收益率*80%+沪深300指数收益率*20%,中债综合指数收益率,80%,沪深300指数收益率,20%,nan,,nan,,nan,,"['中债综合指数收益率*80%', '沪深300指数收益率*20%', nan, nan]",中债综合指数收益率*80%,"['中债综合指数收益率', '80%']",沪深300指数收益率*20%,"['沪深300指数收益率', '20%']",,"['nan', nan]",,"['nan', nan]"
7041,008792.OF,招商安华C,债券型基金,混合债券型二级基金,中债综合指数收益率*80%+沪深300指数收益率*20%,中债综合指数收益率,80%,沪深300指数收益率,20%,nan,,nan,,nan,,"['中债综合指数收益率*80%', '沪深300指数收益率*20%', nan, nan]",中债综合指数收益率*80%,"['中债综合指数收益率', '80%']",沪深300指数收益率*20%,"['沪深300指数收益率', '20%']",,"['nan', nan]",,"['nan', nan]"
7045,008796.OF,中融恒安纯债A,债券型基金,中长期纯债型基金,中债综合指数(全价)收益率,中债综合指数(全价)收益率,,nan,,nan,,nan,,nan,,"['中债综合指数(全价)收益率', nan, nan, nan]",中债综合指数(全价)收益率,"['中债综合指数(全价)收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7046,008797.OF,中融恒安纯债C,债券型基金,中长期纯债型基金,中债综合指数(全价)收益率,中债综合指数(全价)收益率,,nan,,nan,,nan,,nan,,"['中债综合指数(全价)收益率', nan, nan, nan]",中债综合指数(全价)收益率,"['中债综合指数(全价)收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7047,008798.OF,国金惠安利率债A,债券型基金,中长期纯债型基金,中债-总财富(总值)指数收益率*90%+人民币活期存款收益率(税后)*10%,中债-总财富(总值)指数收益率,90%,人民币活期存款收益率(税后),10%,nan,,nan,,nan,,"['中债-总财富(总值)指数收益率*90%', '人民币活期存款收益率(税后)*10%', nan, nan]",中债-总财富(总值)指数收益率*90%,"['中债-总财富(总值)指数收益率', '90%']",人民币活期存款收益率(税后)*10%,"['人民币活期存款收益率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
7048,008799.OF,国金惠安利率债C,债券型基金,中长期纯债型基金,中债-总财富(总值)指数收益率*90%+人民币活期存款收益率(税后)*10%,中债-总财富(总值)指数收益率,90%,人民币活期存款收益率(税后),10%,nan,,nan,,nan,,"['中债-总财富(总值)指数收益率*90%', '人民币活期存款收益率(税后)*10%', nan, nan]",中债-总财富(总值)指数收益率*90%,"['中债-总财富(总值)指数收益率', '90%']",人民币活期存款收益率(税后)*10%,"['人民币活期存款收益率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
7049,008802.OF,浦银安盛盛晖一年定开,债券型基金,中长期纯债型基金,中证综合债指数收益率,中证综合债指数收益率,,nan,,nan,,nan,,nan,,"['中证综合债指数收益率', nan, nan, nan]",中证综合债指数收益率,"['中证综合债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7050,008803.OF,海富通瑞弘6个月定开,债券型基金,中长期纯债型基金,中债综合财富(1年以下)指数收益率*60%+中债综合财富(1-3年)指数收益率*20%+一年期定期存款利率(税后)*20%,中债综合财富(1年以下)指数收益率,60%,中债综合财富(1-3年)指数收益率,20%,一年期定期存款利率(税后),20%,nan,,nan,,"['中债综合财富(1年以下)指数收益率*60%', '中债综合财富(1-3年)指数收益率*20%', '一年期定期存款利率(税后)*20%', nan]",中债综合财富(1年以下)指数收益率*60%,"['中债综合财富(1年以下)指数收益率', '60%']",中债综合财富(1-3年)指数收益率*20%,"['中债综合财富(1-3年)指数收益率', '20%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]"
7051,008804.OF,招商添华A,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率,中债综合(全价)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合(全价)指数收益率', nan, nan, nan]",中债综合(全价)指数收益率,"['中债综合(全价)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7052,008805.OF,招商添华C,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率,中债综合(全价)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合(全价)指数收益率', nan, nan, nan]",中债综合(全价)指数收益率,"['中债综合(全价)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
7053,008806.OF,鑫元锦利一年定开债,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
