,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
3993,005446.OF,鑫元广利定期开放,债券型基金,中长期纯债型基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3995,005448.OF,诺安联创顺鑫A,债券型基金,中长期纯债型基金,中债总财富(1-3年)指数收益率,中债总财富(1-3年)指数收益率,,nan,,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率', nan, nan, nan]",中债总财富(1-3年)指数收益率,"['中债总财富(1-3年)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3998,005451.OF,鹏扬双利A,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3999,005452.OF,鹏扬双利C,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4002,005455.OF,建信睿丰纯债定开,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4006,005461.OF,南方希元可转债,债券型基金,混合债券型二级基金,中证可转换债券指数收益率*60%+中债综合指数收益率*30%+沪深300指数收益率*10%,中证可转换债券指数收益率,60%,中债综合指数收益率,30%,沪深300指数收益率,10%,nan,,nan,,"['中证可转换债券指数收益率*60%', '中债综合指数收益率*30%', '沪深300指数收益率*10%', nan]",中证可转换债券指数收益率*60%,"['中证可转换债券指数收益率', '60%']",中债综合指数收益率*30%,"['中债综合指数收益率', '30%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]"
4007,005462.OF,博时富业纯债3个月,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中债综合财富(总值)指数收益率*90%,"['中债综合财富(总值)指数收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
4010,005465.OF,华泰紫金智惠定开A,债券型基金,中长期纯债型基金,中债信用债总指数收益率,中债信用债总指数收益率,,nan,,nan,,nan,,nan,,"['中债信用债总指数收益率', nan, nan, nan]",中债信用债总指数收益率,"['中债信用债总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4011,005466.OF,华泰紫金智惠定开C,债券型基金,中长期纯债型基金,中债信用债总指数收益率,中债信用债总指数收益率,,nan,,nan,,nan,,nan,,"['中债信用债总指数收益率', nan, nan, nan]",中债信用债总指数收益率,"['中债信用债总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4012,005467.OF,华泰紫金智盈A,债券型基金,中长期纯债型基金,中债信用债总指数收益率,中债信用债总指数收益率,,nan,,nan,,nan,,nan,,"['中债信用债总指数收益率', nan, nan, nan]",中债信用债总指数收益率,"['中债信用债总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
